,Participant #,exp_control,video,User needs 1,User needs 2,Age,Gender,Education,Design experience,UX experience,Q138
DONE,1,exp,desk,"Place for putting bags;
Not bothering other colleages;
Lifting monitor comfortably;
Untangling cords from itself;
Untangling cords from other equipments;
Routing cords around tables;
Findingwhere to plug in the cords;
Possible backache?;
Setting up a workspace to get to work comfortably as soon as possible;
Learn how to operate the monitor;
Get an extra screen space to work effectively;
Sitting in a comfortable position, ergonomically comfortable;
Trying to get the screen to work wihtouthassle;
Setting up an office desk to get comfortable with their new workspace;
Unpacking items to set up workspace quickly;
Efficient packing of equipments from home/old workplace to the current one;
Getting used to the new space physical & emotionally;
Get everything to work together seamlessly without too much hassle;
Getting desk clean vs making it easy to connect things together;
Needs for organization & tidiness of their equipments and documents;
Potential needs for a larger workspace to accommodate when multiple physical documents are being used at once;
Getting comfortable with new colleagues;
Taking care of existing items that might needs to be moved away to accommodate their workspace (e.g. the blue buckets);","Having a clear space to navigate moving things around;
 Not having to crouch in an uncomfortable position to manage the cables;
 Having support to lift heavy objects e.g. computer case?;
 Space to not have things block other things (the ad-hoc bookshelf is in the way of the document tray -- this could make document retrieval tricky later);",26-41,Male,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have a lot of experience,I have a lot of experience,
DONE,2,control,desk,"easier way to manipulate/connect monitor cables;
way to figure out which cables go where;
easier way to find power button on monitor/how to turn it on;
better/more stable way to store books;
better way to organize cables (so they don't get tangled on desk), no space to move mouse, etc.;
better way to store things on desk in order to promote ease of long-term organization;","to find good screen setup (i.e. monitor and laptop placement);
 easier way to access monitor outlets;",18-25,Female,"Some college, but no degree",I have some experience,I have little experience,
DONE,3,exp,vacuum,"A vacuum cleaner with a more manageable power cord;
A mechanism to pick up all loose items/furniture from the floor before vacuuming;
A clearcut map of where to vacuum;
A place to store all the objects the user picks up from the floor;
A sightly place to store the vacuum cleaner when done vacuuming;
A vacuum that has a distinct mode for hard floor surfaces;
Special shoes that don't dirty the floor as you vacuum the floor;
A hair elastic so hair doesn't get in the way while vacuuming","A more ergonomic vacuum handle/overall design;
 A less cluttered room to vacuum;",18-25,Female,"Some college, but no degree",I have some experience,I have a lot of experience,
DONE,4,control,vacuum,"a way to vacuum space with different obstacles, such as furniture, objects on the ground, and room corners;
Power source to plug vacuum cord into;
to maneuver vacuum head efficiently around obstacles;
Way to efficiently organize and wrap vacuum cord;
A way to support or let vacuum free stand without human interaction;
Cord organization so user does not have to navigate around cord or pick up cord while using the vacuum;
to pick up objects along the way;
Storage space for vacuum such that it can be kept in a stable, upright position;","Cord organization method while user is vacuuming so it does not become tangled or become another obstacle;
 Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean;
 User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal;
 Smaller / more agile vacuum head to reach tight spaces;
 Flexible vacuum stem so user can vacuum under low desks or gaps with no obstructions;
 Cord untangling method after vacuuming and after the cord has traveled along the space with the user;
 Place to clip the plug or the end of the coord so it does not become easily unravelled through the vacuum's storage;",18-25,Female,"Some college, but no degree",I have some experience,I have little experience,
DONE,5,exp,desk,"to find places to set up equipment;
help finding right buttons for their use;
help setting up display on monitor;
display, keyboard, laptop, and pc for their work;
stack of books, and pens by their side;
to make better use of desk space;","more space on desk;
 better placement of stuff around desk, such as bag;
 to place monitor on a bette position on the desk to avoid strain;
 to place box somewhere else to avoid strain while carrying objects;
 a chair that is better ergonomically for his posture;
 a better distributed working space, including the desk and mini island adjacent to it;
 to limit equipment brought or utilize equipment more efficiently;",18-25,Male,"Some college, but no degree",I have little experience,I have no experience,
DONE,6,control,desk,"a keyboard as they seem to work a lot with online media;
a monitor to access a slide deck for some class or project;
a laptop to access this digital media;
the books they place in the book organizer to access this material.;
a mouse to navigate digital media;
a lot of time to set up all these materials and additional assistance may be needed.;
They may have more items on the desk than necessary to fulfill a task and may need less.","access to the internet to be able to see the slide deck;
 access to electricity;
 a chair to work;
 books and desk organizers to be organized;
 a desk to hold the items listed above;
 a stapler and pencils if they need to work with written material;
 a pencil cup to keep pencils in one place;
 glasses to see;
 a water bottle to stay hydrated throughout the day;
 a usb adapter for his mouse;
 help with the wiring if it is too messy;",18-25,Male,"Some college, but no degree",I have some experience,I have some experience,
DONE,7,exp,vacuum,"Can move product around while using;
Intuitive to understand and use;
Can adjust the product to fit what user intends to do;
Flexible (can fit in tight spaces);
Cleans small objects;
Has place to wrap wires;
Can be stored easily in tight spaces;
Can stand on its own;
Seems not too heavy to carry around;","Should be able to use without moving around too much;
 Should be able to pick up slightly larger objects;
 Has to fit in tight spaces while in use;
 Should not get tangled with wires when in use;
 Should be able to turn on easily;
 Easy to move around;",18-25,Female,"Some college, but no degree",I have little experience,I have little experience,
DONE,8,control,vacuum,"Better storage system of chord;
Chord requires too much up/down movement to unravel;
Bottom of vacuum should be easier to put flush against ground;
some better way of making sure chord doesn't interfere with vacuum;
a way to move objects on ground rather than picking them up to save effort;
a way to be able to move obstructions other than small items on ground (table, boxes);
Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height;
a place to put lose items that have been collected;
The vacuum is very heavy at the top, making it harder to keep it stationary when unraveling or raveling the chords;
a cleaner workspace, as the vacuuming could have been simplified much more;
storage such as shelves to keep items off the floor;
storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier;
Working with the chord took a large majority of the time spent vacuuming. If time is important to the user, the user may need a different type of chord that takes less time to manage.;","a better storage system for vacuum;
 Looks like it can easily fall based on the mass distribution within the vacuum;
 a way to not step on the wire;
 The vacuum itself looks heavy, it may be in their best interests to use a lighter one;
 May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk;
 a way to keep the vacuum upright and standing on its own when wrapping the chord;
 a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around;
 a design that doesn't force her to bend her back as much;
 The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times;
 a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion;
 to mesh better with her body and overall be more light;
 Could be shorter and more compact, that might allow for more ease of movement;
 Or may need an height-adjustable vacuum instead for ease of movement;",18-25,Female,"Some college, but no degree",I have some experience,I have little experience,
DONE,9,exp,desk,"an ergonomic computer workstation;
a PC that can be used independently;
to use the monitor as a second screen for an external laptop;
The workstation should have accessible outlets and cable ports for all components;
All equipment necessary should be easy for the user to move and set up;
cable organization;
easily accessible electrical outlets;
lifting support to pick up items on floor;
table-level electrical outlet;
backpack storage;
laptop dock;
laptop stand;
mouse;
ergonomic keyboard;
usb cable hub;
chair mat to protect floor;
monitor stand;
separate bookshelf;
monitor;
paper;
books;
writing utensils;
accessible ports on computer;","A clear floor around the workstation;
 Long cables accessible in a neutral sitting or standing position;
 A wide desk that can accommodate both the computer set-up and any necessary writing, reading, etc.;
 Storage for up to a dozen books that doesn't impede computer use;
 Writing utensil storage accessible in a neutral sitting or standing position without leaning;
 Ergonomic mousepad;
 Laptop stand that raises screen to eye-level;
 Adjustable monitor stand;",18-25,Female,Bachelor’s degree,I have a lot of experience,I have some experience,
DONE,11,exp,vacuum,"retracting cord reel;
battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered;
removable bin to store small things you pick up off the floor that you can't vacuum up;
the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;","low tension continuous retracting cord reel which is optimized across the complete cord length, i.e. in problem point 8 her hands are full and she needs to manage the cable - if it continuously managed tension to prevent too much cable from being let out, while letting the user complete retract the cable at the end with a higher tension reel, this problem would be addressed;",18-25,Male,Bachelor’s degree,I have a lot of experience,I have some experience,
DONE,12,control,vacuum,"Clean a space efficiently;
Access hard-to-reach spaces;
Maneuverable;
Move potential larger blockages on the floor out of the way;
Access to the entire room;
Low startup and shutdown complexity;
Easy to store;
Intuitive controls;
Presumably minimize noise;
Single-handed operation;
Continuous operation for extended periods of time;
Non-marking or damaging to the surface;
Lightweight;","Powerful vacuum;
 Multiple cleaning functions;
 Height adjustability;
 Device robustness to impact, both of the brush head and the pylon;
 Device stability while free standing;
 Easy to empty out the collection bin and reassemble;
 Ability to clean multiple surfaces;
 Way to help the user identify dirty parts of the surface;
 Clog detection/warning;",26-41,Male,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have some experience,I have little experience,
DONE,13,exp,desk,"An extension cable for power supply;
A better cabinet to stack books;
Maybe a desk organizer;
A keyboard and a mouse;
Possible a connector to connect the HDMI cable to the monitor with the USB ports for keyboard and mouse;
Some way to organize the cables;
A desk that could possible rise, because the user seems to like to stand and do tasks;
A bigger desk to organize well or some shelf space;
Some sticky notes maybe because the user likes to use them, or even a calendar/ task organizer;","There are many unused objects that are in the way for the task;
 Something to make sure user doesn't hit his head;
 Some space between the users desk and the other monitor;
 A maid robot to do the task for the user;",18-25,Female,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have some experience,I have little experience,Yes
,14,control,desk,"Place to put bag;
Finding on button for monitor;
Place for CPU;
Two monitors;
Place for books;
Water;
Pens;
Easy connections;
Finding ports;","Easy untangling of cables;
 Through holes for cables;
 Connecting without having to go under table;
 Way to structure monitors;
 Best order to assemble desk;",26-41,Male,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have little experience,I have no experience,
DONE,15,exp,vacuum,"easier chord management system;
wireless vacuum;
basket attachment to place larger items instead of carrying them by hand;
Easier access to electrical outlet;
More agile vacuum for better maneuverability in tighter turns;","The table near the outlet needs to be removed;
 The large box by the door needs to be removed to vacuum that space;",18-25,Male,Bachelor’s degree,I have little experience,I have little experience,No
DONE,16,control,vacuum,"Stable storage (ie does not tip or roll);
easily manageable cord;
ergonomic cord storage (ie not uncomfortable to plug in cord or return to storage);
long cord reach/reach from power source if stationary;
easily maeurverable by hand;
easy to conform path by hand around variable sized and shaped obstacles;
ability to cover large area efficiently;
cord stays out of way of vacuum and user;
ability to see where you have vacuumed;
vacuum in corners and along edges;
quickly store cord after use;
easy to lift up and reposition;
lightweight;
user does not have to bend down during use;
can reach under common furniture items;
large range of motion from given user position (ie user can vacuum large area without moving);
does not damage walls or furniture on contact;","height of components that user must interact with physically are comfortable;
 slides/rolls easily (ie without a lot of user effort) on different flooring surfaces;
 large capacity/ability to vacuum large space at once;
 cord does not tangle;
 cord can be easily secured at its end;
 as many functions as possible can be engaged by user while in standing position;
 compact storage;
 cord does not collect dirt/dust during use;
 cord is secure as stored and does not come undone;",18-25,Female,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have some experience,I have a lot of experience,No
DONE,17,exp,desk,"cable management - many cables, hard to find where to connect and make it comfortable;
not enough space on desk;
things are put on desk unorganized;
he does not connect all the cables at the beginning, one left to the end when the desk is crowded;","has to bend down to lift things - would be useful if the items were already in the desk height;
 has to go under the desk to connect the cables to power - uncomfortable and risk of injury;
 monitor buttons and control are on the back side, hard to reach and find;
 there is no place for the user to place his backpack, so he puts it on the floor and it gets in the way sometimes;
 the chair gets in the way, the user has to move it back and forth multiple times;
 there is no designated place for the computer, he needs to look and decide where to put it;
 the computer under the desk does not leave enough space for the user ti sit comfortably;",26-41,Female,Bachelor’s degree,I have some experience,I have no experience,Yes
DONE,18,control,desk,"power cord organization (untangling and unraveling cord);
monitor transportation onto desk (leaned down to pick it up off box and move it);
box transportation under desk (leaned down to pick it up off floor and move it under desk, discomfort?);
line of sight of behind the monitor and box (for plugging in cords/finding power source? user has to stand and look behind monitor and also squat and look under desk);
easier knowledge or where power button is for the monitor (putting hands on monitor, presumably to find power switch);
access to under the desk (had to move the chair);
unboxing/placing and organizing items onto desk (is this a regular activity?);
book organization (is this adequate placement on the desk?);
easier access to box contents (lots of bending up and down to retrieve contents);
cord organization (cords quickly all over desk);
backpack storage (leaning on side, might be ok sitting there?);
chair storage/organization (has to push chair back to unpack and organize desk);","initial cord organization (user had to readjust lifting the monitor because it looked like a cord got stuck);
 easier connections for power and data;
 book organization (possibly to see all titles better than the horizontal orientation);
 more desk space (desk quickly filled up with monitor, laptop, books);
 communication with others (seemed to get help from someone off screen);
 monitor placement (moved computer to the side);",26-41,Female,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have a lot of experience,I have a lot of experience,No
DONE,19,exp,vacuum,"Wire on the vacuum is difficult to unravel;
Vacuum angle is locked in position at the start, must use foot to unlock;
Have to bend down to clean larger objects like socks;
Vacuum does not turn super easily, user has to drag it in the direction they desire at certain points;
Wire gets in the way during vacuuming;
Wire on the vacuum is difficult to wrap back up, because it is very long and must bend down to wrap it up;
Vacuum head flops down during vacuuming when the vacuum gets picked up;
Nowhere to lock in the wire at the top of the vacuum, the use just flops the wire over the top of the vacuum handle;
The vacuum does not stand on its own, the user has to prop / hold it up while wrapping the wire;
Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;","Have to bend down to plug in;
 Vacuum seems somewhat heavy when picked up to move across obstacles like the wire;
 There are lots of larger objects in the way during vacuuming, like bins and boxes;
 Bottom of the vacuum will slide while the user tries to wrap the wire up;
 Vacuum is not very secure resting on the edge of the table;",18-25,Male,Bachelor’s degree,I have a lot of experience,I have little experience,No
DONE,20,control,vacuum,"to be able to clean objects off the floor;
The product should be able to maneuver easily around and below furniture and objects on the floor;
to pick up baseball sized objects off the floor;
to be able to reach all locations on the floor;
to be able to clean the floor while mostly standing;
more convenient methods for storing and setting up the device;
a method for powering the vacuum cleaner or cleaning device;
to have the cleaning device take up as little space as possible when stored;
to have the device effectively maintain contact with the ground/ have continuous cleaning capabilities while in use;
to be able to control the movement of the device;
to be able to easily adjust and fix the cleaning device;
to be able to clean all locations on the floor without tripping hazards or major obstructions;
to be able to see the progress of cleaning;","to be able to start cleaning relatively quickly;
 to be able to clean larger areas for relatively less movement with their own body;
 a way to store the dirt and mess that they clean away from the floor;
 to clean with relatively little bending over.;
 to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning;
 to stand/sit in a comfortable position while cleaning;
 to be able to clean with relatively little torque on their wrist (i.e. not get into a wrist lock);
 ideally will only need to use 1 hand in order to clean the floor;
 to clean the floor in as little time as possible;",18-25,Female,Bachelor’s degree,I have a lot of experience,I have some experience,No
DONE,21,exp,desk,"Modularity in working space;
Quick connections between monitor, laptop, etc.;
Easily accessible method for turning on monitor;
Ability to work on large screen;
Space to store monitor, books, etc. when not at desk;
Access to power outlets for short cords;
Access to common office items (stapler, etc.);
Chair (and other furniture) that can be removed to access desk for set up;
Modular items for desk personalization (such as books, photos, etc.);
Working space large enough for monitors, books, personal items, etc.;","Easy movement of large objects such as computer tower;
 Ergonomically-friendly storage of items (books, monitor, etc.) that avoids need to bend down;",26-41,Female,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have some experience,I have some experience,No
,22,control,desk,"Unpack following items from carton.;
Connect the display screen to power outlet.;
Connect the CPU to power and display screen.;
Find and switch on the display screen.;
Connect laptop/keyboard to display screen.;
Organize desk with file tray, bookends, books, water bottle, stapler, pen holder;
Make space on desk and connect mouse to display screen.","Longer power and connector cables for display screen.;
 Easier access to space beneath the desk for placing CPU.;
 Easier identification of power switch on display screen.;
 Wider/larger desk space.;
 Upfront instructions to set up desk space. Eg. User placed books on file tray and later moved some of them to bookends.;",42-57,Female,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have no experience,I have little experience,No
DONE,23,exp,vacuum,"Help with holding up the vacuum on their own;
untangling the cord;
removing items off the ground;
somewhere to place the items picked up off the ground;
tracking where the vacuum has already gone (repeating spots often);
moving the cord out of the way;
putting the cord back without tangling;
stabilize the vacuum while putting cord away;
placing the end of the vacuum cord somewhere more obvious/convenience;
easier reach under desks/into harder to reach spaces;
easier mobility of the vacuum head;
less need to pick the entire vacuum head up off the floor;
","more securely balancing vacuum instead of balancing on a table;
 help moving large items off the floor to vacuum under them;
 help activating the Roomba instead (if that's what's near the Elmers box);
 more desk space to place socks picked up off the ground;
 easier way to plug vacuum into the wall;
 generally not having to support the vacuum when it is not in use (some way to ""park"" it);",18-25,Female,"Some college, but no degree",I have some experience,I have little experience,No
DONE,24,control,vacuum,"Struggled with cable unwrapping;
Struggled to balance the vacuum cleaner upright when not held;
Confused by dropping the vacuum foot;
Held onto larger items on the floor that blocked the vacuum cleaner;
Looped back over the excess cable on the floor;
Cable caught on the wheels;
Struggled to rewrap the cable;
Unsure how to secure the end of the cable;
Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners","Unwrapped the entire cable from the start;
 Kept the trigger held even when lifting the suction end over the cable;",26-41,Non-binary / third gender,Bachelor‚Äôs degree,I have a lot of experience,I have some experience,No
DONE,25,exp,desk,"desktop cable organization;
simplified desktop monitor/computer setup;
ergonomic neck/back alignment during computer use;
easy access behind desk for faster computer station setup;
access to multiple power outlets near desk;
","desk with built in outlets / slots for cable organization;
 ergonomic office chair;
 easily moveable desktop computer;
 monitor with front buttons;",18-25,Female,Bachelor‚Äôs degree,I have some experience,I have some experience,No
DONE,26,control,desk,"Backpack holder;
Cable management;
Lift heavy objects;
Reach low/close to the ground;
Reach under desk;
Ease of turning on devices;
Organization of textbooks;
Hold books so they are easy to see;
Enough desk space to hold all necessary office supplies;
Easy to reach power outlet;
Adjustable desk for best ergonomics;
Adjustable chair for best ergonomics;
Connection between devices should be fast;
A mouse?;
Have water close by;
Have writing materials close by;","Enough space under the desk for trash can and computer and legs;
 A chair/device that can help with grabbing things near the ground or being in a crouching position;
 The office materials could be kept closer to the height of the desk so that he can easily reach them;
 Stationary organizer;
 Drawers;
 Bookshelf;
 A connecting hub where all the mouse/headphones/keyboard would all connect to;
 Food storage for perishables;
 First aid kit;",26-41,Female,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have some experience,I have some experience,No
,27,exp,vacuum,"Tool that cleans the floor;
Pick up stuff that is in the way of the tool cleaning the floor;
A way to use the vacuum without tripping over the cord;
More efficient way to unwrap and rewrap the cord on the vacuum;
Avoid getting tangled with the cord;
Storage for the vacuum;
A place to put the trash that was on the floor;
How to know which parts of the floor need cleaning and which don't/how to know when the task is done;
Would this method of cleaning the floor be accessible to everyone? Bending down to pick large items up or to deal with the vacuum cord is physically restrictive;
Outlet placement compared to the size of the room;
Large furniture acting as a physical barrier - can it be moved to make the task easier?;
Was the vacuum the best tool for the users need of cleaning?","Storage space is very crowded making it hard for the user to access the outlet and the vacuum;
 Every time the user has to bend down to wind the cord or pick something up it is ergonomically bad;
 The room is very cluttered making it difficult for the user to navigate the space;
 What is the user supposed to do with the socks? Difficult to multitask - hold the socks while vacuuming or while trying to put the vacuum away;
 Restrictive to try to pick up the socks while also vacuuming - the user's body had a hard time navigating around the vacuum to perform the task of picking up the socks;",18-25,Female,"Some college, but no degree",I have little experience,I have little experience,No
,28,control,vacuum,"Easier way to unwrap and rewrap the vacuum cord;
Somewhere to place the different objects that she is picking up off the floor;
some way to make sure the cord does not get tangled as she is moving around;
some way to keep the vacuum stable while she is wrapping the cord around;
something to keep the cord from getting caught when she is vacuuming and moving back/forth;
someway to store the cord that is just excess while moving around the vacuum, something retractable?;
something to make more space when wrapping up the cord so that it is easier to get it all on the hooks and not have it keep falling off;","needs someone to help her move the furniture around so she can adequately clean the space;
 needs the head of the vacuum to be heavier as to not have it shift around so much and stay on the ground;",18-25,Female,"Some college, but no degree",I have some experience,I have some experience,No