,Group 1a,Group 1b,Group 1c,Group 1d,Group 2a,Group 2b,Group 2c,Group 2d,Group 3a,Group 3b,Group 3c,Group 3d
0,Looped back over the excess cable on the floor,Was the vacuum the best tool for the users need of cleaning?,Chord requires too much up/down movement to unravel,"May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk","Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners",Can stand on its own,Bottom of vacuum should be easier to put flush against ground,lightweight,More efficient way to unwrap and rewrap the cord on the vacuum,to clean with relatively little bending over.,"a way to be able to move obstructions other than small items on ground (table, boxes)","The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times"
1,Large furniture acting as a physical barrier - can it be moved to make the task easier?,Unsure how to secure the end of the cable,lightweight,A vacuum cleaner with a more manageable power cord,"User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal",retracting cord reel,large capacity/ability to vacuum large space at once,"Could be shorter and more compact, that might allow for more ease of movement",help moving large items off the floor to vacuum under them,removing items off the ground,to be able to clean with relatively little torque on their wrist (i.e. not get into a wrist lock),lightweight
2,Better storage system of chord,Somewhere to place the different objects that she is picking up off the floor,Presumably minimize noise,easier way to plug vacuum into the wall,untangling the cord,Outlet placement compared to the size of the room,Chord requires too much up/down movement to unravel,"Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height","Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height","generally not having to support the vacuum when it is not in use (some way to ""park"" it);",Has place to wrap wires,to be able to reach all locations on the floor
3,The room is very cluttered making it difficult for the user to navigate the space,easy to lift up and reposition,to clean the floor in as little time as possible;,ability to see where you have vacuumed,Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;,"There are lots of larger objects in the way during vacuuming, like bins and boxes","generally not having to support the vacuum when it is not in use (some way to ""park"" it);",a method for powering the vacuum cleaner or cleaning device,The table near the outlet needs to be removed,Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;,Way to help the user identify dirty parts of the surface,easier mobility of the vacuum head
4,Lightweight;,"The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times",Unwrapped the entire cable from the start,basket attachment to place larger items instead of carrying them by hand,help moving large items off the floor to vacuum under them,needs someone to help her move the furniture around so she can adequately clean the space,easily maeurverable by hand,a better storage system for vacuum,easily maeurverable by hand,Have to bend down to clean larger objects like socks,Easier access to electrical outlet,a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around
5,Stable storage (ie does not tip or roll),some better way of making sure chord doesn't interfere with vacuum,Storage space is very crowded making it hard for the user to access the outlet and the vacuum,A place to store all the objects the user picks up from the floor,Way to efficiently organize and wrap vacuum cord,Have to bend down to clean larger objects like socks,A mechanism to pick up all loose items/furniture from the floor before vacuuming,Smaller / more agile vacuum head to reach tight spaces,"Vacuum angle is locked in position at the start, must use foot to unlock",something to keep the cord from getting caught when she is vacuuming and moving back/forth,Smaller / more agile vacuum head to reach tight spaces,Unsure how to secure the end of the cable
6,to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning,"There are lots of larger objects in the way during vacuuming, like bins and boxes",removable bin to store small things you pick up off the floor that you can't vacuum up,A more ergonomic vacuum handle/overall design,storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier,Ability to clean multiple surfaces,"Vacuum does not turn super easily, user has to drag it in the direction they desire at certain points",Intuitive controls,Can stand on its own,to be able to clean the floor while mostly standing,A mechanism to pick up all loose items/furniture from the floor before vacuuming,to clean the floor in as little time as possible;
7,large range of motion from given user position (ie user can vacuum large area without moving),Cord untangling method after vacuuming and after the cord has traveled along the space with the user,The product should be able to maneuver easily around and below furniture and objects on the floor,Can stand on its own,"Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean",to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning,A way to support or let vacuum free stand without human interaction,Was the vacuum the best tool for the users need of cleaning?,Cleans small objects,Chord requires too much up/down movement to unravel,more desk space to place socks picked up off the ground,to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning
8,Intuitive controls,removing items off the ground,height of components that user must interact with physically are comfortable,ideally will only need to use 1 hand in order to clean the floor,"a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion",The room is very cluttered making it difficult for the user to navigate the space,to have the cleaning device take up as little space as possible when stored,A less cluttered room to vacuum;,Flexible (can fit in tight spaces),Unwrapped the entire cable from the start,ideally will only need to use 1 hand in order to clean the floor,Clog detection/warning;
9,cord is secure as stored and does not come undone;,"Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners",ergonomic cord storage (ie not uncomfortable to plug in cord or return to storage),Easier way to unwrap and rewrap the vacuum cord,Help with holding up the vacuum on their own,Intuitive to understand and use,easier chord management system,to stand/sit in a comfortable position while cleaning,"There are lots of larger objects in the way during vacuuming, like bins and boxes",Help with holding up the vacuum on their own,easy to lift up and reposition,"The vacuum does not stand on its own, the user has to prop / hold it up while wrapping the wire"
10,retracting cord reel,Smaller / more agile vacuum head to reach tight spaces,Low startup and shutdown complexity,to pick up baseball sized objects off the floor,tracking where the vacuum has already gone (repeating spots often),A sightly place to store the vacuum cleaner when done vacuuming,Access hard-to-reach spaces,The product should be able to maneuver easily around and below furniture and objects on the floor,A more ergonomic vacuum handle/overall design,"a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion",slides/rolls easily (ie without a lot of user effort) on different flooring surfaces,placing the end of the vacuum cord somewhere more obvious/convenience
11,more desk space to place socks picked up off the ground,"Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean",Flexible (can fit in tight spaces),to be able to clean larger areas for relatively less movement with their own body,Can be stored easily in tight spaces,Vacuum head flops down during vacuuming when the vacuum gets picked up,A way to use the vacuum without tripping over the cord,Would this method of cleaning the floor be accessible to everyone? Bending down to pick large items up or to deal with the vacuum cord is physically restrictive,height of components that user must interact with physically are comfortable,Place to clip the plug or the end of the coord so it does not become easily unravelled through the vacuum's storage;,Height adjustability,Maneuverable
12,cord does not collect dirt/dust during use,Intuitive to understand and use,Can move product around while using,A less cluttered room to vacuum;,something to make more space when wrapping up the cord so that it is easier to get it all on the hooks and not have it keep falling off;,The table near the outlet needs to be removed,What is the user supposed to do with the socks? Difficult to multitask - hold the socks while vacuuming or while trying to put the vacuum away,some way to make sure the cord does not get tangled as she is moving around,Move potential larger blockages on the floor out of the way,a way to move objects on ground rather than picking them up to save effort,The product should be able to maneuver easily around and below furniture and objects on the floor,a way to keep the vacuum upright and standing on its own when wrapping the chord
13,to be able to start cleaning relatively quickly,A vacuum that has a distinct mode for hard floor surfaces,"a way to vacuum space with different obstacles, such as furniture, objects on the ground, and room corners",Avoid getting tangled with the cord,Cord organization method while user is vacuuming so it does not become tangled or become another obstacle,basket attachment to place larger items instead of carrying them by hand,more desk space to place socks picked up off the ground,Or may need an height-adjustable vacuum instead for ease of movement;,Storage space is very crowded making it hard for the user to access the outlet and the vacuum,Cord organization method while user is vacuuming so it does not become tangled or become another obstacle,compact storage,Special shoes that don't dirty the floor as you vacuum the floor
14,Vacuum is not very secure resting on the edge of the table;,"The vacuum is very heavy at the top, making it harder to keep it stationary when unraveling or raveling the chords","Nowhere to lock in the wire at the top of the vacuum, the use just flops the wire over the top of the vacuum handle",Every time the user has to bend down to wind the cord or pick something up it is ergonomically bad,a design that doesn't force her to bend her back as much,"The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times",storage such as shelves to keep items off the floor,can reach under common furniture items,"battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered",removable bin to store small things you pick up off the floor that you can't vacuum up,Easy to store,Was the vacuum the best tool for the users need of cleaning?
15,Wire on the vacuum is difficult to unravel,Powerful vacuum,"Could be shorter and more compact, that might allow for more ease of movement",more securely balancing vacuum instead of balancing on a table,Cleans small objects,cord is secure as stored and does not come undone;,slides/rolls easily (ie without a lot of user effort) on different flooring surfaces,How to know which parts of the floor need cleaning and which don't/how to know when the task is done,Avoid getting tangled with the cord,vacuum in corners and along edges,Or may need an height-adjustable vacuum instead for ease of movement;,"a way to vacuum space with different obstacles, such as furniture, objects on the ground, and room corners"
16,long cord reach/reach from power source if stationary,Cleans small objects,storage such as shelves to keep items off the floor,"Working with the chord took a large majority of the time spent vacuuming. If time is important to the user, the user may need a different type of chord that takes less time to manage.;",more securely balancing vacuum instead of balancing on a table,A place to store all the objects the user picks up from the floor,Single-handed operation,Looks like it can easily fall based on the mass distribution within the vacuum,Confused by dropping the vacuum foot,"Working with the chord took a large majority of the time spent vacuuming. If time is important to the user, the user may need a different type of chord that takes less time to manage.;",Restrictive to try to pick up the socks while also vacuuming - the user's body had a hard time navigating around the vacuum to perform the task of picking up the socks;,easier reach under desks/into harder to reach spaces
17,easier mobility of the vacuum head,A hair elastic so hair doesn't get in the way while vacuuming,A sightly place to store the vacuum cleaner when done vacuuming,to be able to clean objects off the floor,cord stays out of way of vacuum and user,ability to see where you have vacuumed,somewhere to place the items picked up off the ground,Kept the trigger held even when lifting the suction end over the cable;,Easy to empty out the collection bin and reassemble,Pick up stuff that is in the way of the tool cleaning the floor,Cord organization so user does not have to navigate around cord or pick up cord while using the vacuum,Should be able to pick up slightly larger objects
18,Clog detection/warning;,A place to put the trash that was on the floor,compact storage,Single-handed operation,some way to keep the vacuum stable while she is wrapping the cord around,putting the cord back without tangling,Flexible (can fit in tight spaces),A clearcut map of where to vacuum,cord stays out of way of vacuum and user,A vacuum cleaner with a more manageable power cord,Vacuum seems somewhat heavy when picked up to move across obstacles like the wire,putting the cord back without tangling
19,Pick up stuff that is in the way of the tool cleaning the floor,Non-marking or damaging to the surface,help moving large items off the floor to vacuum under them,Height adjustability,removing items off the ground,to be able to clean objects off the floor,a way to store the dirt and mess that they clean away from the floor,"someway to store the cord that is just excess while moving around the vacuum, something retractable?",help activating the Roomba instead (if that's what's near the Elmers box),A less cluttered room to vacuum;,Storage for the vacuum,Somewhere to place the different objects that she is picking up off the floor
20,to be able to easily adjust and fix the cleaning device,easier chord management system,less need to pick the entire vacuum head up off the floor,Should be able to pick up slightly larger objects,a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around,Easy to empty out the collection bin and reassemble,a way to not step on the wire,to be able to clean larger areas for relatively less movement with their own body,cord can be easily secured at its end,Kept the trigger held even when lifting the suction end over the cable;,Bottom of the vacuum will slide while the user tries to wrap the wire up,can reach under common furniture items
21,something to keep the cord from getting caught when she is vacuuming and moving back/forth,Held onto larger items on the floor that blocked the vacuum cleaner,Should be able to use without moving around too much,to be able to control the movement of the device,a way to keep the vacuum upright and standing on its own when wrapping the chord,ergonomic cord storage (ie not uncomfortable to plug in cord or return to storage),Struggled to balance the vacuum cleaner upright when not held,Special shoes that don't dirty the floor as you vacuum the floor,Outlet placement compared to the size of the room,the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;,quickly store cord after use,long cord reach/reach from power source if stationary
22,some way to make sure the cord does not get tangled as she is moving around,Have to bend down to clean larger objects like socks,Easy to empty out the collection bin and reassemble,Move potential larger blockages on the floor out of the way,stabilize the vacuum while putting cord away,easy to lift up and reposition,Stable storage (ie does not tip or roll),A vacuum that has a distinct mode for hard floor surfaces,"Storage space for vacuum such that it can be kept in a stable, upright position;",Seems not too heavy to carry around;,Easier way to unwrap and rewrap the vacuum cord,Clean a space efficiently
23,Vacuum head flops down during vacuuming when the vacuum gets picked up,ability to cover large area efficiently,"low tension continuous retracting cord reel which is optimized across the complete cord length, i.e. in problem point 8 her hands are full and she needs to manage the cable - if it continuously managed tension to prevent too much cable from being let out, while letting the user complete retract the cable at the end with a higher tension reel, this problem would be addressed;",Looks like it can easily fall based on the mass distribution within the vacuum,"Storage space for vacuum such that it can be kept in a stable, upright position;",cord does not collect dirt/dust during use,Easy to move around;,cord can be easily secured at its end,easy to conform path by hand around variable sized and shaped obstacles,Vacuum head flops down during vacuuming when the vacuum gets picked up,"Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners",to have the device effectively maintain contact with the ground/ have continuous cleaning capabilities while in use
24,placing the end of the vacuum cord somewhere more obvious/convenience,"The vacuum does not stand on its own, the user has to prop / hold it up while wrapping the wire",needs the head of the vacuum to be heavier as to not have it shift around so much and stay on the ground;,"battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered",Presumably minimize noise,Should be able to pick up slightly larger objects,Easier way to unwrap and rewrap the vacuum cord,Clean a space efficiently,Intuitive controls,less need to pick the entire vacuum head up off the floor,Cable caught on the wheels,Lightweight;
25,to be able to see the progress of cleaning;,A clearcut map of where to vacuum,The large box by the door needs to be removed to vacuum that space;,Or may need an height-adjustable vacuum instead for ease of movement;,Maneuverable,Has to fit in tight spaces while in use,moving the cord out of the way,Wire on the vacuum is difficult to unravel,large range of motion from given user position (ie user can vacuum large area without moving),A clearcut map of where to vacuum,"a cleaner workspace, as the vacuuming could have been simplified much more",A hair elastic so hair doesn't get in the way while vacuuming
26,"Vacuum does not turn super easily, user has to drag it in the direction they desire at certain points","a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion",Place to clip the plug or the end of the coord so it does not become easily unravelled through the vacuum's storage;,More agile vacuum for better maneuverability in tighter turns;,Should be able to turn on easily,Avoid getting tangled with the cord,"Vacuum angle is locked in position at the start, must use foot to unlock",Have to bend down to plug in,untangling the cord,A vacuum that has a distinct mode for hard floor surfaces,storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier,cord does not collect dirt/dust during use
27,to have the cleaning device take up as little space as possible when stored,slides/rolls easily (ie without a lot of user effort) on different flooring surfaces,"a way to be able to move obstructions other than small items on ground (table, boxes)",storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier,Device stability while free standing,more convenient methods for storing and setting up the device,Struggled to rewrap the cable,Large furniture acting as a physical barrier - can it be moved to make the task easier?,more securely balancing vacuum instead of balancing on a table,Access to the entire room,to be able to clean all locations on the floor without tripping hazards or major obstructions,Better storage system of chord
28,Device stability while free standing,putting the cord back without tangling,a way to not step on the wire,untangling the cord,to have the device effectively maintain contact with the ground/ have continuous cleaning capabilities while in use,something to keep the cord from getting caught when she is vacuuming and moving back/forth,Place to clip the plug or the end of the coord so it does not become easily unravelled through the vacuum's storage;,to mesh better with her body and overall be more light,"The vacuum itself looks heavy, it may be in their best interests to use a lighter one",Can move product around while using,"Device robustness to impact, both of the brush head and the pylon",Looped back over the excess cable on the floor
29,Kept the trigger held even when lifting the suction end over the cable;,a way to keep the vacuum upright and standing on its own when wrapping the chord,"someway to store the cord that is just excess while moving around the vacuum, something retractable?",Bottom of the vacuum will slide while the user tries to wrap the wire up,Has place to wrap wires,cord does not tangle,wireless vacuum,Better storage system of chord,Has to fit in tight spaces while in use,needs someone to help her move the furniture around so she can adequately clean the space,a design that doesn't force her to bend her back as much,to pick up baseball sized objects off the floor
30,easily manageable cord,easy to conform path by hand around variable sized and shaped obstacles,"generally not having to support the vacuum when it is not in use (some way to ""park"" it);",a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around,Somewhere to place the different objects that she is picking up off the floor,Height adjustability,easily manageable cord,to be able to reach all locations on the floor,How to know which parts of the floor need cleaning and which don't/how to know when the task is done,Can adjust the product to fit what user intends to do,as many functions as possible can be engaged by user while in standing position,something to make more space when wrapping up the cord so that it is easier to get it all on the hooks and not have it keep falling off;
31,tracking where the vacuum has already gone (repeating spots often),What is the user supposed to do with the socks? Difficult to multitask - hold the socks while vacuuming or while trying to put the vacuum away,"User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal",some way to keep the vacuum stable while she is wrapping the cord around,compact storage,easier mobility of the vacuum head,Lightweight;,"May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk",to maneuver vacuum head efficiently around obstacles,A place to store all the objects the user picks up from the floor,Would this method of cleaning the floor be accessible to everyone? Bending down to pick large items up or to deal with the vacuum cord is physically restrictive,easily manageable cord
32,wireless vacuum,Can be stored easily in tight spaces,"Wire on the vacuum is difficult to wrap back up, because it is very long and must bend down to wrap it up",A way to support or let vacuum free stand without human interaction,removable bin to store small things you pick up off the floor that you can't vacuum up,Power source to plug vacuum cord into,placing the end of the vacuum cord somewhere more obvious/convenience,A vacuum cleaner with a more manageable power cord,Stable storage (ie does not tip or roll),Low startup and shutdown complexity,Struggled with cable unwrapping,Struggled to rewrap the cable
33,to be able to clean the floor while mostly standing,Should be able to turn on easily,"Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height",help activating the Roomba instead (if that's what's near the Elmers box),"a way to vacuum space with different obstacles, such as furniture, objects on the ground, and room corners","low tension continuous retracting cord reel which is optimized across the complete cord length, i.e. in problem point 8 her hands are full and she needs to manage the cable - if it continuously managed tension to prevent too much cable from being let out, while letting the user complete retract the cable at the end with a higher tension reel, this problem would be addressed;",Every time the user has to bend down to wind the cord or pick something up it is ergonomically bad,Unwrapped the entire cable from the start,a method for powering the vacuum cleaner or cleaning device,to mesh better with her body and overall be more light,Should be able to turn on easily,"Could be shorter and more compact, that might allow for more ease of movement"
34,a better storage system for vacuum,moving the cord out of the way,Multiple cleaning functions,Easier access to electrical outlet,"Working with the chord took a large majority of the time spent vacuuming. If time is important to the user, the user may need a different type of chord that takes less time to manage.;",A place to put the trash that was on the floor,vacuum in corners and along edges,Vacuum is not very secure resting on the edge of the table;,large capacity/ability to vacuum large space at once,wireless vacuum,Should be able to use without moving around too much,ability to cover large area efficiently
35,Has to fit in tight spaces while in use,more convenient methods for storing and setting up the device,a way to store the dirt and mess that they clean away from the floor,Ability to clean multiple surfaces,help activating the Roomba instead (if that's what's near the Elmers box),Multiple cleaning functions,to maneuver vacuum head efficiently around obstacles,does not damage walls or furniture on contact;,Power source to plug vacuum cord into,Easy to move around;,Presumably minimize noise,Every time the user has to bend down to wind the cord or pick something up it is ergonomically bad
36,Have to bend down to plug in,easier reach under desks/into harder to reach spaces,"Vacuum angle is locked in position at the start, must use foot to unlock",as many functions as possible can be engaged by user while in standing position,"Wire on the vacuum is difficult to wrap back up, because it is very long and must bend down to wrap it up",some better way of making sure chord doesn't interfere with vacuum,to be able to clean all locations on the floor without tripping hazards or major obstructions,easy to conform path by hand around variable sized and shaped obstacles,A way to use the vacuum without tripping over the cord,The large box by the door needs to be removed to vacuum that space;,cord is secure as stored and does not come undone;,does not damage walls or furniture on contact;
37,a method for powering the vacuum cleaner or cleaning device,large capacity/ability to vacuum large space at once,Struggled to balance the vacuum cleaner upright when not held,a way to move objects on ground rather than picking them up to save effort,the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;,to pick up objects along the way,Can move product around while using,A hair elastic so hair doesn't get in the way while vacuuming,"Nowhere to lock in the wire at the top of the vacuum, the use just flops the wire over the top of the vacuum handle",to be able to easily adjust and fix the cleaning device,more convenient methods for storing and setting up the device,tracking where the vacuum has already gone (repeating spots often)
38,Special shoes that don't dirty the floor as you vacuum the floor,Access hard-to-reach spaces,to be able to clean with relatively little torque on their wrist (i.e. not get into a wrist lock),Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;,quickly store cord after use,to clean the floor in as little time as possible;,ability to cover large area efficiently,Struggled with cable unwrapping,Access hard-to-reach spaces,A sightly place to store the vacuum cleaner when done vacuuming,easier way to plug vacuum into the wall,a better storage system for vacuum
39,somewhere to place the items picked up off the ground,to stand/sit in a comfortable position while cleaning,Clean a space efficiently,Cable caught on the wheels,easier way to plug vacuum into the wall,Storage space is very crowded making it hard for the user to access the outlet and the vacuum,Bottom of the vacuum will slide while the user tries to wrap the wire up,Easier access to electrical outlet,Large furniture acting as a physical barrier - can it be moved to make the task easier?,Continuous operation for extended periods of time,"Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean","low tension continuous retracting cord reel which is optimized across the complete cord length, i.e. in problem point 8 her hands are full and she needs to manage the cable - if it continuously managed tension to prevent too much cable from being let out, while letting the user complete retract the cable at the end with a higher tension reel, this problem would be addressed;"
40,cord stays out of way of vacuum and user,Way to efficiently organize and wrap vacuum cord,the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;,How to know which parts of the floor need cleaning and which don't/how to know when the task is done,to pick up baseball sized objects off the floor,Unsure how to secure the end of the cable,Held onto larger items on the floor that blocked the vacuum cleaner,Storage for the vacuum,"May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk",to be able to start cleaning relatively quickly,Device stability while free standing,Intuitive to understand and use
41,can reach under common furniture items,Outlet placement compared to the size of the room,Cord organization method while user is vacuuming so it does not become tangled or become another obstacle,The table near the outlet needs to be removed,"The vacuum is very heavy at the top, making it harder to keep it stationary when unraveling or raveling the chords",Pick up stuff that is in the way of the tool cleaning the floor,The large box by the door needs to be removed to vacuum that space;,as many functions as possible can be engaged by user while in standing position,user does not have to bend down during use,cord does not tangle,Held onto larger items on the floor that blocked the vacuum cleaner,to be able to clean larger areas for relatively less movement with their own body
42,More efficient way to unwrap and rewrap the cord on the vacuum,quickly store cord after use,to be able to reach all locations on the floor,Continuous operation for extended periods of time,"Nowhere to lock in the wire at the top of the vacuum, the use just flops the wire over the top of the vacuum handle",height of components that user must interact with physically are comfortable,a way to move objects on ground rather than picking them up to save effort,long cord reach/reach from power source if stationary,Should not get tangled with wires when in use,Wire on the vacuum is difficult to unravel,some better way of making sure chord doesn't interfere with vacuum,A place to put the trash that was on the floor
43,stabilize the vacuum while putting cord away,Easy to move around;,something to make more space when wrapping up the cord so that it is easier to get it all on the hooks and not have it keep falling off;,to be able to clean all locations on the floor without tripping hazards or major obstructions,Non-marking or damaging to the surface,A more ergonomic vacuum handle/overall design,"a cleaner workspace, as the vacuuming could have been simplified much more",Restrictive to try to pick up the socks while also vacuuming - the user's body had a hard time navigating around the vacuum to perform the task of picking up the socks;,"someway to store the cord that is just excess while moving around the vacuum, something retractable?","Wire on the vacuum is difficult to wrap back up, because it is very long and must bend down to wrap it up",Struggled to balance the vacuum cleaner upright when not held,Vacuum is not very secure resting on the edge of the table;
44,Cord organization so user does not have to navigate around cord or pick up cord while using the vacuum,Storage for the vacuum,Help with holding up the vacuum on their own,"a cleaner workspace, as the vacuuming could have been simplified much more",to be able to see the progress of cleaning;,Vacuum seems somewhat heavy when picked up to move across obstacles like the wire,Tool that cleans the floor,to be able to control the movement of the device,Bottom of vacuum should be easier to put flush against ground,The room is very cluttered making it difficult for the user to navigate the space,Way to efficiently organize and wrap vacuum cord,A way to support or let vacuum free stand without human interaction
45,Has place to wrap wires,a place to put lose items that have been collected,Power source to plug vacuum cord into,cord can be easily secured at its end,Can adjust the product to fit what user intends to do,large range of motion from given user position (ie user can vacuum large area without moving),Cable caught on the wheels,to be able to clean the floor while mostly standing,to stand/sit in a comfortable position while cleaning,retracting cord reel,some way to make sure the cord does not get tangled as she is moving around,storage such as shelves to keep items off the floor
46,Restrictive to try to pick up the socks while also vacuuming - the user's body had a hard time navigating around the vacuum to perform the task of picking up the socks;,to have the device effectively maintain contact with the ground/ have continuous cleaning capabilities while in use,Would this method of cleaning the floor be accessible to everyone? Bending down to pick large items up or to deal with the vacuum cord is physically restrictive,vacuum in corners and along edges,Powerful vacuum,Move potential larger blockages on the floor out of the way,"The vacuum itself looks heavy, it may be in their best interests to use a lighter one",Way to help the user identify dirty parts of the surface,Wire gets in the way during vacuuming,to pick up objects along the way,to have the cleaning device take up as little space as possible when stored,Flexible vacuum stem so user can vacuum under low desks or gaps with no obstructions
47,to clean with relatively little bending over.,"The vacuum itself looks heavy, it may be in their best interests to use a lighter one",Should not get tangled with wires when in use,Struggled with cable unwrapping,"battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered",needs the head of the vacuum to be heavier as to not have it shift around so much and stay on the ground;,Looped back over the excess cable on the floor,Confused by dropping the vacuum foot,to be able to control the movement of the device,ergonomic cord storage (ie not uncomfortable to plug in cord or return to storage),ability to see where you have vacuumed,a way to store the dirt and mess that they clean away from the floor
48,does not damage walls or furniture on contact;,Wire gets in the way during vacuuming,Tool that cleans the floor,Struggled to rewrap the cable,to be able to easily adjust and fix the cleaning device,"Device robustness to impact, both of the brush head and the pylon",Access to the entire room,Wire gets in the way during vacuuming,Looks like it can easily fall based on the mass distribution within the vacuum,to be able to clean objects off the floor,moving the cord out of the way,Multiple cleaning functions
49,to mesh better with her body and overall be more light,Flexible vacuum stem so user can vacuum under low desks or gaps with no obstructions,Seems not too heavy to carry around;,to pick up objects along the way,Continuous operation for extended periods of time,easier reach under desks/into harder to reach spaces,to be able to clean with relatively little torque on their wrist (i.e. not get into a wrist lock),Cord organization so user does not have to navigate around cord or pick up cord while using the vacuum,somewhere to place the items picked up off the ground,to be able to see the progress of cleaning;,What is the user supposed to do with the socks? Difficult to multitask - hold the socks while vacuuming or while trying to put the vacuum away,stabilize the vacuum while putting cord away
50,Bottom of vacuum should be easier to put flush against ground,cord does not tangle,Maneuverable,Can adjust the product to fit what user intends to do,Cord untangling method after vacuuming and after the cord has traveled along the space with the user,"a way to be able to move obstructions other than small items on ground (table, boxes)",a place to put lose items that have been collected,Seems not too heavy to carry around;,More agile vacuum for better maneuverability in tighter turns;,"Vacuum does not turn super easily, user has to drag it in the direction they desire at certain points","User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal",Non-marking or damaging to the surface
51,A mechanism to pick up all loose items/furniture from the floor before vacuuming,"Storage space for vacuum such that it can be kept in a stable, upright position;",to maneuver vacuum head efficiently around obstacles,user does not have to bend down during use,user does not have to bend down during use,Flexible vacuum stem so user can vacuum under low desks or gaps with no obstructions,less need to pick the entire vacuum head up off the floor,Clog detection/warning;,Tool that cleans the floor,a place to put lose items that have been collected,Single-handed operation,easier chord management system
52,Vacuum seems somewhat heavy when picked up to move across obstacles like the wire,a design that doesn't force her to bend her back as much,Access to the entire room,Way to help the user identify dirty parts of the surface,Easy to store,ideally will only need to use 1 hand in order to clean the floor,More agile vacuum for better maneuverability in tighter turns;,to be able to start cleaning relatively quickly,"The vacuum is very heavy at the top, making it harder to keep it stationary when unraveling or raveling the chords",Cord untangling method after vacuuming and after the cord has traveled along the space with the user,Have to bend down to plug in,basket attachment to place larger items instead of carrying them by hand
53,"Device robustness to impact, both of the brush head and the pylon",A way to use the vacuum without tripping over the cord,Confused by dropping the vacuum foot,easily maeurverable by hand,Low startup and shutdown complexity,More efficient way to unwrap and rewrap the cord on the vacuum,Should be able to use without moving around too much,Should not get tangled with wires when in use,some way to keep the vacuum stable while she is wrapping the cord around,a way to not step on the wire,Powerful vacuum,Can be stored easily in tight spaces
54,0,Easy to store,0,needs someone to help her move the furniture around so she can adequately clean the space,0,to clean with relatively little bending over.,0,"The vacuum does not stand on its own, the user has to prop / hold it up while wrapping the wire",0,Ability to clean multiple surfaces,0,needs the head of the vacuum to be heavier as to not have it shift around so much and stay on the ground;
